Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R11	R12	R13	R14	R15	R16	R17	R18	R19	R21	R22	Tot
Ablett, Gary		7			8	14	4	12	7	3	7	10	5	11	5	5	10	8	3	5	124
Bairstow, Mark					-	-	3			-	2	1	2	2	-	-	1	1	1	1	14
Barnes, John	-	1	1			-	-	-	-	1	-	-	-	-	-	1	-	-	-	-	4
Bews, Andrew	2	-	-	-	-	-	-	-	-	-	-			-	-	-	-	-	-	-	2
Brown, Paul			1								1		-	-	2	-	2	1	-	-	7
Brownless, Bill	-	-	4	7	2		2	-	-	1									2	2	20
Colbert, Leigh							-	-								-	-	1	-	-	1
Couch, Paul	-	-	2	1	-	-	-	-	1	1	1	-	-	2	1	1	2	-	2	-	14
Darcy, Tim			-	-	-	1	-	-	1	-	-	-	-	-	-			-	-	-	2
Forssman, Darren	2	-									-	1							-	-	3
Graham, Ben																			-		
Handley, Steven	2	-	1	-	1		-							1	1	1	-	-			7
Hickmott, Adrian	-		-	2	1	1	-									-	1				5
Hinkley, Ken	-	1	-			-		-		-	-	-	1	1	-	-	1	1	-	-	5
Hocking, Garry	2	-	2	1	-	1	-		-	1	2	-	2	-	-	2	-	2	3		18
Hocking, Steve	-	-		-	-	-			-	-	-	-	-	-	-	-	-	-	-	-	
Hooper, Stephen			-	-		-					-	-	-	-							
Lamb, Jamie									1				-	-	1						2
Lynch, Paul				-	1		3	-	1			-								1	6
Malakellis, Spiro				1	1	-		-	-	-	-	-	-	-	-						2
Mansfield, Michael	1	-					-	-	2			-	-	1	-						4
McGrath, Tim	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-		
Mensch, David	5	-																			5
Merriman, Russell								1	-	-											1
Neeld, Mark	-	-		1	-	-					2	-	-	-	-						3
OReilly, Stephen			-			-	1	-	2	1	-				1	-	-	-		-	5
Pickering, Liam			-	1	1	1	-	2	1	-	-	-	-			-					6
Poole, Trevor																-	-	-	-	-	
Riccardi, Peter	-	-	1	-	-	-	1	1		-	-			-	4	-	1	1	-	1	10
Scott, Robert	4	1	-	2	1	1	1	3	2	2	1	-	1	1	-	2	1	2	2	-	27
Simpson, Sean	-	-	-	-			-	-	-	-											
Steele, Darren	1	-	-	-	-	-	-	-				-	2			1	1	1		1	7
Stoneham, Barry	-	3	-	-	1				-	1	-	1	2				5	4	4	4	25
Tudor, Leigh				2	1	-				2		1	-	1	-	-	-	-	2	2	11
Willison, Leigh	1	2	1																		4
Wills, Andrew								-	1												1
Totals	20	15	13	18	18	19	15	19	19	13	16	14	15	20	15	13	25	22	19	17	345
Opponent	SK	CW	NM	HW	BB	ES	WC	RI	SY	CA	FI	AD	FO	ME	SK	CW	NM	HW	ES	WC	
