Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Anderson, Stuart		1	-	1	-	3	1						-	-	-								6
Bandy, Daniel	-	-	-	-	1	2	-	2			2	1	-	-									8
Black, Heath																						1	1
Bond, Chris	-	3	1	2	-	6	1	5	3	1	-	1	1	2	-	1	2	2	1	-	1	-	33
Brown, Michael								1	1	1					1		3	1	-	-			8
Burton, Matthew		-	-	3	-	-	-	-	-	-	-	1		1	1	1	-	-	1	-	1	1	10
Callaghan, Craig	3	-	1	5	1	2	6	6	4	2	3	1	3	-	1	3	5	1	4	5	1	3	60
Carroll, Trent	-	-						-	1	2					-	1	-	-	1	-	-	2	7
Chisholm, Scott	1	-	1	2			1		-	2	3	1			-	6	2	1	5		-	3	28
Clement, James	-		-	2	-	4	1	1	2	3	-	-	2	-	2	1	1	-	2	-	1	1	23
Clucas, Matthew	1	1	2	-																-		-	4
Dhurrkay, Gary				-	1	4	1	-	-				1	2		1						4	14
Dodd, Brad	-	-	2	1	1	1	-	1	3	-	1	2	1	-			-	-	1	2	-	5	21
Feddema, Brendon							1	2								-							3
Fletcher, Adrian	2	3	1	3	-	3	4	6	1	1							1	1	1	4	3	6	40
Gale, Mark	1	-	4	3	-	3	1	1	2	2	3	2	-	3	2	-	-	4	-	-	-	4	35
Godden, Tony															-	1				2		-	3
Harding, Greg	1	1	1	3	-	5				1	-		1	-									13
Hargraves, Daniel				-				1															1
Holland, Brodie								1	2	1		-	1	2	-			-	1	1	2	3	14
Hunter, Kingsley	-	-								2	-	-	-		-				-	-	-	2	4
Jones, Anthony							-	2	-		-	4	2	1									9
Kickett, Dale	-	-			-	3	2	3	-	3	2	2	-	2	-	6	1	2			2		28
Koops, Steven			1								-			1	1						1		4
Leach, Quenton							2											2	-				4
Maher, Paul															-	-	1						1
Mann, Peter			-	2	-	1	-		1				1	2		2	-	-	1				10
McGovern, Andrew			-	-	1	-		3	3	1	1	4	2	1	2	1	1	-	-	2	-	3	25
McManus, Shaun	-	1	1	5	2	-																	9
Michael, Clem	-											-	1	-	-	2	-	1	-	-			4
Norrish, Jason	2	3	4	1	-	4	2	3	3	2	1	1	2	1	-	1	1	1	1	1	-	3	37
OReilly, Stephen		1	-	-	-	1			1	-	-	1	1	-	-	-	-	1	2	-	-	-	8
Parker, Daniel	-	-	2		-	3				1	-	2								-	2	3	13
Parker, Shane	1	1	-	2	1	2	-	1	1	1	3	1	1	-	1	4	1	1	-	-	1		23
Sinclair, Jess	1		2	4	1	4	3	1		-	-	2	1	1	-	1	2	-	-	1	2	3	29
Toia, Luke	1	2					-	4	-		-	1	3	3	3	5	2						24
Walker, James																			3	-	1	1	5
Waterhouse, Clive	-	1			-	-	2	1	1	1	1	1	-			1	1	1			-	-	11
Wills, Andrew	1	-	2	2	1	5	1		1	3	3	3				-	-	-	-	-	1		23
Totals	15	18	25	41	10	56	29	45	30	30	23	31	24	22	14	38	24	19	24	18	19	48	603
Opponent	ME	AD	WC	ES	NM	PA	HW	GE	SK	CW	BL	WB	CA	RI	SY	ME	AD	WC	ES	NM	PA	HW	
