Player	R1	R2	R3	R4	R5	R6	R7	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	EF	SF	PF	Tot
Adams, Leigh	-	-	-	-	1	1	-	1	1	-	2	-	1	-	-	-	1	-	-	-	-	-				8
Anthony, Liam										-	-	1			-											1
Atley, Shaun	-	-	1	1	-	-	-	2	-	-	-	-	2	-	1	-	-	1	1	-	-	-	1	-	-	10
Bastinac, Ryan	1	-	1	-	-	-	-	-	2	-	2	1	-	-	-	-	-	1	2	1	-	3	-	-	-	14
Black, Aaron	-	1	-	-	-	-	2	-	-	1	-	-	-	-	2	2	-	-	-	1	-	1	1	-	-	11
Brown, Ben													-	2	1	-			1	-	-	-	1	2	-	7
Cunnington, Ben	-	-	1	2	2	1	1	2	1	1	1	1	2	1	1	-	3	1	1	1	1	2	1	4	-	31
Currie, Daniel		-	-		1																	2				3
Dal Santo, Nick	1	-	-	1	-	-	-	1	-	1	-	-	-	-	-	-	1	-	2	-	-	-	-	-	-	7
Daw, Majak						4	-	-	1	-	2						3	2								12
Firrito, Michael				-	-	-	1		-	2	1	-	2	1	1	-	-	1	3	1	2		2	-	1	18
Gibson, Sam	-	-	-	-	-	1	2	-	1	2	-	1	1	1	1	-	-	1	1	1	1	-	-	-	1	15
Goldstein, Todd	1	1	2	1	-	3	1	-	1	1	1	1	1	1	2	1	1	1	3	-	2		2	1	1	29
Greenwood, Levi		1	-	2	1	-	2	-	-	-	3	2	2	1	1	1	4	-		2	1		2	-	1	26
Grima, Nathan	-	1	-	-	1	1	-												-	1	2	2	-	-	-	8
Hansen, Lachlan	-	1	-	-	-	1	2	2	-	-	-	2	-		-	1	2	-				-				11
Harvey, Brent	1	-	1	-	1	2	1	-	-	1	1	-	2	-	1	1	2	2	-	-				1	-	17
Jacobs, Ben			-	2	-									2	2	1	1	2	2	1	-	1	1		-	15
Macmillan, Jamie	1	1	2																			-	1	-		5
McDonald, Luke	-	-	-	1	1	2	1	1	1	1	1	-	-	-	1		-	1	1	-	-		1	1	-	14
McKenzie, Brad	-	-	-	1	-	-	-						-	2		-										3
McMahon, Scott	-							-							-	-	-									
Mullett, Aaron	-	1	1	-	1	-	-			-	-	1	-	-		-		-	-		-	1				5
Nahas, Robin				-		1		1	2	1	1	-	1													7
Petrie, Drew	-	1	3	2	-	-	-	-	2	-	3	1	-	2	2	1	-	-	1	1	1	-	-	-	1	21
Swallow, Andrew								-	2	3	1	2	-	1	-	2	2	-	-	1	1	2	2	3	2	24
Tarrant, Robbie												1														1
Thomas, Lindsay	-	1	3	3	-	-	4	2	1	-		1	-	1	2	-	1	2	1	1	3		1	2	-	29
Thompson, Scott	1	2	-	1	1		-	-	3	-	3	-	-	-	-	3	-	1	2	1	-	2	-	2	1	23
Tippett, Joel						-	-	-	1																	1
Turner, Kayne																			-		-	2	-	1	2	5
Warren, Max														-												
Wells, Daniel	1	-	-	-	1															-		2	-	2	-	6
Wood, Mason																						-				
Wright, Sam	2							-	2		-				-	-	-	2	-	-	-	2	-	-	2	10
Ziebell, Jack	2	2				3	-	2	1	1	-	2	1	2			1	1	2	1	1	4	-	1	2	29
Totals	11	13	15	17	11	20	17	14	22	15	22	17	15	17	18	13	22	19	23	14	15	26	16	20	14	426
Opponent	ES	WB	PA	SY	CW	FR	GC	BL	GE	WC	RI	AD	ME	BL	HW	SK	CA	GE	GW	WB	AD	ME	ES	GE	SY	
