Player	R1	R2	R3	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R20	R21	R22	Tot
Atkins, Simon	-	3	-	1	-	1	2	1	2	-	1	1	-	1	1	2	2	2	1	1	22
Ballantyne, Jon	1											3	1	1	1	1					8
Barrow, Gary																	1	2	-	1	4
Beveridge, Luke											3	4	2	3	1	-			2	-	15
Cameron, Leon	1	1	-	-	-	-	1	1		-	2	-	3	1	1	1	3	1	1	-	17
Campbell, Tony						-	2	-	4	2	1	1	2	-	1						13
Charles, Justin											-	1	-								1
Coleman, Glenn	2	3	2							-											7
Corcoran, Shannon											1	-					-	1	-		2
Croft, Matthew	2		1																		3
Darcy, Anthony					-	1	-	1	1	1					-	-	-	2	-	1	7
Del-Re, Danny	3	2	2	1	-	1	1	-	-	2	2					-	-	-			14
Ellen, Shane			1	-	2					-											3
Foster, Peter	1						3	2	2	3	-	-	3	-							14
Frost, Michael							1	-	1					2	1	-					5
Grant, Chris				6	4	2	1	2	1	1	2	3	2	2	2	2	1	-	4	-	35
Grgic, Ilija		2						3						-	-	2	-	3	1	3	14
Hawkins, Doug	1	-	1	1	1	2	2	2	1	2	1	2	-	2	1	-	4	-	1	-	24
Hunter, Mark	4	-	3	4	2	-	1	1	3	3	2	-	2					-	1	-	26
Kellett, Nigel	1	2	1	2	1	3	4	-	3	1	-		2	1	1	2	-	-	-	2	26
Kolyniuk, Steven	2	1	2	4	1	-			1	-	2	2	-	2	-	-					17
Kretiuk, Steven		-	-					1	-											-	1
Liberatore, Tony	3	2	3	2	-	3	-	3	3	5	1	1	2	3	2	2	2	3	2	7	49
MacPherson, Stephen	5	2	1	2	2	1	-	1	1												15
Mansfield, Matthew	-	-	2	-	-	2								1	1						6
Nicholson, Brad																2	1	2	3	2	10
Quill, Peter				-	-	3	-					1	2	1	-	-	-	1	-	-	8
Reynolds, Keenan	2	2	3	1	1	2	2	1	-	1	1	-	2	-							18
Royal, Brian							-	2	-		-	1	1	-	1		2	1			8
Sexton, Ben				2	2	1									-	1	2		1	-	9
Smith, Rohan	2	1								-	-	-	-								3
Standfield, Barry	-	3	3	1	2	1	2	-	4	3	-	1	2	-	-	-	-	1	2	-	25
Thorpe, Alan																	2	-	1	1	4
Toohey, Bernard		3	1	-	3	4	3	2	1	1	4	-	3			1	1	2	6	1	36
Wallis, Stephen	1	1	-	1																	3
West, Scott	1	-	1	3	2	3	3	1	-	1				1	-	2	3	4	4	1	30
Wynd, Scott	2	1	2	1	3	2	-		2	1	3	4	5	2	-	3	1	4	-	3	39
Totals	34	29	29	32	26	32	28	24	30	27	26	25	34	23	14	21	25	29	30	23	541
Opponent	CW	ME	FI	ES	WC	NM	CA	SK	HW	AD	SY	BB	GE	RI	CW	ME	FI	ES	WC	NM	
