Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	R23	Tot
Addison, Dylan						1	-		-	1	-				4	2	1	3	2	3	3		20
Austin, Mark					1	2	3												1	-	-	1	8
Boyd, Matthew				5	3	3	3	4	2		4	7	6				2			1	3	4	47
Campbell, Tom			4															1	1	4	-	2	12
Cooney, Adam	3	3	1	-	4	2	1	-			3	3	3	2	1	2	-	3	1	1		3	36
Cordy, Ayce	3	3		8									2	-									16
Cross, Daniel	1	3	2	3	2	2	2	-										1	1	2	7	1	27
Dahlhaus, Luke	3	1	1	1	-	3	-	2	3	3	1	-	3	-	1	4	3	-	3	1	1	1	35
Dickson, Tory	3	5	2										2	-	1	-	4	1	3	1	2	-	24
Giansiracusa, Daniel	-	3	2	-			4	1	-	5	-	1	-	3	-	-	-	-	1	1	-	2	23
Goodes, Brett	-	2	3	4	5			6	4	4	2	3		2	4	1							40
Grant, Jarrad															5	-	-	2	2	1	2	2	14
Griffen, Ryan	4	-	3	4			2	3	3	1	2	4	4	1	5	4	7	2	4	7	3	1	64
Higgins, Shaun	5	4	1																				10
Howard, Christian						-																	
Hrovat, Nathan									1	1		1	4	1	3	2							13
Hunter, Lachie												1	1		1	-	2	4		2	4	1	16
Johannisen, Jason	1	1		3	3	4	1	1	-	3	1	1	1	3									23
Jones, Liam	1	-	1	2	-	1	5	1	2	1	1	1	1	-	-	2	5		2			3	29
Liberatore, Tom	2	1	2	4	3	2	3	2	-	5	2	1	2	1	2	4	2	4	3	4	3	3	55
Lower, Nick	3	2	2	2	4	4	2	2	7	3	3	-	4										38
Macrae, Jack				2	2	3		-	1	3	1	1	5	6		3	1	-					28
Markovic, Lukas							1	1			1	-											3
Minson, Will	4	1	3	3	2	5	1	2	3	-	3	4	2	10	5	4	1	-	4	2	4	4	67
Morris, Dale	1	1	1	3	3	3	1	1	-	-	1	2	2	1	1	-	1	2	1	1	-	3	29
Murphy, Robert	-	2	4				3	-	-	4	-	2	2	4	2	3	1	1	3	1	2	-	34
Picken, Liam	2	4	5	1	2	1	2	2	3	1	1	1			1	4	2	-	-	1	2	1	36
Roughead, Jordan	4	2	2	2	1	1	2	-	1	1	3	-	1	2	-	1	2	2	-	1	3	-	31
Smith, Clay	1	-	1		3	2	5	2	9	3	2	1	6	2	3								40
Stevens, Koby	1	2	3	3	1	2		1	4	-	1			3	2	4	-	1	3	4	4	2	41
Stringer, Jake				2	2	-		1	4	-	-	1	2	2									14
Talia, Michael										2	3	-	1	2	3	3	1	2					17
Tutt, Jason				3	2	3	1							3	1	2	2	3	-		1		21
Veszpremi, Patrick					1																		1
Wallis, Mitch	1	1	-	2	-	2	3			3			-	3	1	1	1	5	4	2	-	3	32
Williams, Tom									-	1													1
Wood, Easton			1																4	1	2	4	12
Young, Tom	-	3	4	2	1	1	2	4	2								4	-	2	1	3	1	30
Totals	43	44	48	59	45	47	47	36	49	45	35	35	54	51	46	46	42	37	45	42	49	42	987
Opponent	BL	FR	RI	AD	GE	WC	NM	GC	SK	PA	CW	RI	ME	GW	ES	HW	WC	SY	CA	AD	BL	ME	
