Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	Tot
Bode, Matthew	-	1	1													-	-	-			-	-	2
Bond, Shane	3	2	-	-	2	1	2	-						-	1	1	-	1	1	1			15
Breuer, Shayne						1	1	-	-	-	-	1	-	1	2	2	-	1	2	-			11
Brown, David						-	-							1	-								1
Burgoyne, Peter	-	-	-	-	-			-								-				1	1	-	2
Carr, Tom																					-	1	1
Chalmers, Brett								-	-	1							-	-	-	1	1	-	3
Cummings, Scott	-	1	1	-	2			-	-	-	-	1	1	-	-	-			-	-			6
Daniels, Stephen	1	-		-	-				-	2	1	-	1	1	1	-	1	-					8
Dew, Stuart	-								-	-	2	1	2	-	-	1	1	-	1	-	1	-	9
Dickie, Donald	-	-	-	2	-				1	2	2	3	3	1	1	1	-	1	-	1	1	1	20
Eagleton, Nathan	1	2	2	1	-	2	-	-	-	-	-	2	1	-	-	-	2	-	-	-	1	3	17
Evans, Paul						-	-	-	-	-	-												
Fiegert, Nigel	-	2	-	-	4	-	1	-			-	-											7
Francis, Fabian		-	-	1	-													-			1	1	3
Francou, Josh	1	-	-	1	-	1	2	1	2	-	2	1	-	3	1	2	2	-	4	2	2	1	28
Harley, Tom														-									
Harwood, Mark										-	-	-								-	-	-	
Heaver, Brent									-	-	-		-		1					-	1	1	3
Heuskes, Adam	1	-	-			1	-	1	-	1	-	-	-			-	1	3	1				9
James, Roger				-	-														-	-	1	1	2
Kingsley, Adam	-	1	3	3	1	-	1	1	-	-	1	2	1	-	1	-	2	1	-	2	1	1	22
Lade, Brendon	2	-	-	-	-	-	-	2	3	1	2	1	1	1	2	1	1	4	2	1	-	-	24
Lockwood, Bowen						-	-	-	2	-	1	-	-	1	1	-	1	1	-	1	-	1	9
Lyle, Brayden	-	-	3	4	-	1	1	-	-	-	1	-	1	2	-	1	1	-	-	3	2	-	20
Mead, Darren	-	-	1	-	2	1	-	2	-	1	-	2	1	1	1	-	1	-	-	-	-	3	16
Morton, Danny	-	1	1	-	-	-	1	2	-	-	1	-	-										6
Naish, Chris	1	-	-	2	-	2	-	1	-	1	-	1	1				-	1	2				12
Paxman, Stephen	2	2	1	-	-	3	-	1					1	-	2	1	1	3	-	-	1	1	19
Poole, Darryl	2	1	1	2	2	1	1	1	-	1	1			-	-								13
Primus, Matthew	1	5	2	1	1	2	-					1	-	1	2	2	2	1	-	5	1	1	28
Steinberner, Nathan												-											
Stevens, Nick						1	1	2	2	2	-	1	-	1	2	-	1	2	2	2	-	-	19
Tredrea, Warren	-	1	1	-	1	-	1						-	-	1	1	-	-	1	2	2	1	12
Wanganeen, Gavin			2	2	1	1	1	4	-	1		2	2	4	4	-	-		2				26
Wilson, Michael	2	1	2	-	-	2	1	1	-		1	1	-	-	1	3	1	1	-	-	2	1	20
Totals	17	20	21	19	16	20	14	19	10	13	15	20	16	18	24	16	18	20	18	22	19	18	393
Opponent	SY	HW	NM	AD	ME	FR	CA	SK	CW	RI	WC	BL	WB	GE	ES	SY	HW	NM	AD	ME	FR	CA	
