Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	PF	GF	GF	Tot
Anthony, John	-	3						2		1				1	2						1						10
Ball, Luke	2	2	3	2	1	3	6	6	3	1	3		5	1	1	1	5	4	2		3	2	3	3	1	4	67
Barham, Jaxson												3															3
Beams, Dayne		4	-	6	13	4	5	5	1	3	4	5	3	3	3	3	3	2	2	3	2	2	5	3	3	3	90
Blair, Jarryd														1	3	-	2	3		2	2	3	6	3	3	3	31
Brown, Leigh	3	2	4	2							3	2	3	1	1	-	4	-	3	2	3		4	7	2	-	46
Brown, Nathan					1	-	-	-	-									-		-	-	1	-	-	1	2	5
Cloke, Travis	5	4	3	5	3	9	2	5	7	7	6	5	4	3	2			4	5	2	3	6	6	2	5	1	104
Davis, Leon	4	3	2	3	6	3	4	4	3		2	1	2	7		6	4	3	3			2	2		2		66
Dawes, Chris					1	1	1	3	1	2			2	-	2	1	3	5	3	4	2	1	3	2	2	3	42
Dick, Brad												4	2														6
Didak, Alan	5	5	5	6	3	3	5	2	9	6	8		8	5	2	3	3	4	5	1	8		2	7	2	3	110
Fraser, Josh	3	1	3	-	3	2					2	3										-					17
Goldsack, Tyson													1	-	1	-	-	1	2		-	1		1		2	9
Johnson, Ben	4	1		3	3	6	2	4	1	6	2		-	4	1	2	6	3	3	2	1		5	3	-	2	64
Jolly, Darren	1	-	4	4	-	-	3	1	1	4	4	3	3	4	3	-	1	1	1	3	2	3	2	-	3	2	53
Lockyer, Tarkyn	4	4	1	4								5	3	2	1	2	4			1							31
Lumumba, Heritier	2	3	5	-	-	1	2	-	3	1	3	1	1	-	-	2	2	2	4	3	-	-	-	1	3	2	41
Macaffer, Brent			3	1	-	1	2	1	-	1	1	1				1	1	1	4	4	1	3	2	3	5	2	38
Maxwell, Nick	-	-	-	2	2	3	2	-	3	-	-	-					2	2	1	-	-	4	3	1	3	3	31
McCarthy, John			2																			1					3
Medhurst, Paul	3	1	1	4	2	1	2				2	4								4							24
OBree, Shane	2		1				7	4	1	2																	17
Pendlebury, Scott	5	3	4	3	4	1	2	2	1	4	3	4	5	6	2	2	3	2	7	7	3	4	6	4	3	4	94
Prestigiacomo, Simon	-		-	-						-	1	-	-	-	-	-	-		-	-							1
Reid, Ben		-			-	1	2	-	-	1	2	2	-	2	2	-	1	1	-			-	2	-	1	-	17
Shaw, Heath	3	2		4	3	-	4	2	1	-	-	2	3	4	2	2			2	2	-	1	1	2	3	5	48
Sidebottom, Steele	3	4	2	4	3	4	2	1	2	4	2	3	4		-	-	-	3	5	5	2	2	2	3	6	3	69
Swan, Dane	2	3	4	4	4	6	6	5	2	6	9	6	3	3	8	9	6	3	5	4	3	7	4	6	8	4	130
Thomas, Dale	5	3	2	4	8	8	4	4	4	3	5	1	5	4	2	5	3	4	3	2	-	2	7	-	1	3	92
Toovey, Alan	-	1	1	2	-	3	2	1	-	-	5	-	1	1	-	1	1	1	-	-	-	1	1	1	1	1	25
Wellingham, Sharrod	2	3	1	7	7	3			5	2	1	3	5	3	1	3	4	4	6	9	4	1	2	4	4	3	87
Wood, Cameron							5	2	-	-																	7
Totals	58	52	51	70	67	63	70	54	48	54	68	58	63	55	39	43	58	53	66	60	40	47	68	56	62	55	1478
Opponent	WB	ME	SK	HW	ES	CA	NM	FR	GE	BL	WB	ME	SY	WC	PA	SK	RI	CA	GE	ES	AD	HW	WB	GE	SK	SK	
