Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	PF	GF	GF	Tot
Anthony, John	5	-						2		1				-	5						1						14
Ball, Luke	-	1	4	1	2	-	3	1	7	6	3		2	2	4	3	2	2	5		3	1	1	-	1	2	56
Barham, Jaxson												2															2
Beams, Dayne		1	2	1	1	1	2	2	2	1	4	1	1	2	1	2	1	2	1	2	-	3	2	1	3	1	40
Blair, Jarryd														-	-	5	2	-		3	-	3	3	2	-	-	18
Brown, Leigh	3	5	3	3							2	1	5	1	3	2	3	-	1	5	1		3	4	5	4	54
Brown, Nathan					1	2	2	1	-									4		2	-	3	1	1	2	1	20
Cloke, Travis	-	2	2	1	1	1	1	1	3	2	2	1	2	3	5			2	3	2	3	2	3	3	-	-	45
Davis, Leon	2	3	2	2	2	4	3	2	3		4	3	8	1		4	4	3	4			-	1		-		55
Dawes, Chris					1	5	4	1	2	3			1	2	2	4	1	2	2	1	2	1	3	2	2	2	43
Dick, Brad												-	3														3
Didak, Alan	3	3	1	3	3	2	1	1	2	1	2		6	2	3	3	1	-	2	3	2		3	2	2	2	53
Fraser, Josh	5	3	-	2	2	1					4	1										3					21
Goldsack, Tyson													-	-	1	1	4	1	1		6	1		1		1	17
Johnson, Ben	1	1		5	1	2	2	1	4	3	2		1	3	3	1	2	3	2	-	-		1	1	3	-	42
Jolly, Darren	4	3	5	4	4	1	1	4	4	-	6	2	3	5	4	2	3	1	2	3	3	-	1	1	5	3	74
Lockyer, Tarkyn	3	1	4	2								2	2	1	2	2	2			-							21
Lumumba, Heritier	1	2	3	1	2	1	2	2	2	1	2	2	2	1	1	7	3	-	2	1	2	2	1	1	3	3	50
Macaffer, Brent			3	2	-	-	1	-	-	1	2	1				1	1	1	-	1	-	4	1	-	-	3	22
Maxwell, Nick	3	3	2	2	1	-	1	3	2	2	1	1					4	1	2	-	1	1	3	1	2	2	38
McCarthy, John			2																			-					2
Medhurst, Paul	2	1	-	1	4	2	2				2	1								4							19
OBree, Shane	-		3				2	3	2	3																	13
Pendlebury, Scott	2	1	2	2	-	3	3	-	2	-	2	1	1	1	2	1	6	1	2	3	2	2	1	2	-	3	45
Prestigiacomo, Simon	-		1	2						-	1	1	-	1	-	1	1		1	-							9
Reid, Ben		2			1	3	-	2	1	2	1	1	3	2	4	1	1	2	-			1	2	1	-	-	30
Shaw, Heath	3	-		-	5	1	4	3	7	1	4	2	1	4	3	3			4	-	1	3	2	1	2	-	54
Sidebottom, Steele	3	2	2	-	2	1	-	1	2	1	1	2	1		-	1	1	1	2	-	3	-	4	1	1	-	32
Swan, Dane	3	1	4	-	3	3	2	4	3	1	3	-	4	2	7	1	1	-	2	1	3	3	2	-	3	1	57
Thomas, Dale	3	5	1	1	3	1	3	4	3	2	2	2	2	1	4	5	1	6	2	1	1	1	3	2	2	3	64
Toovey, Alan	2	1	2	4	3	4	2	1	2	1	3	1	-	-	-	2	1	-	2	2	1	1	1	1	1	4	42
Wellingham, Sharrod	3	4	2	2	3	-			5	2	4	3	5	5	1	1	5	4	4	1	3	2	2	1	1	1	64
Wood, Cameron							2	-	2	3																	7
Totals	51	45	50	41	45	38	43	39	60	37	57	31	53	39	55	53	50	36	46	35	38	37	44	29	38	36	1126
Opponent	WB	ME	SK	HW	ES	CA	NM	FR	GE	BL	WB	ME	SY	WC	PA	SK	RI	CA	GE	ES	AD	HW	WB	GE	SK	SK	
