Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	SF	PF	Tot
Anthony, John	2	2	-	2	-	1		1	1	2	2	3	2	1	2	-	4	5	3	1	2	3	2	-	3	44
Barham, Jaxson				9	7	4	1										2	4								27
Beams, Dayne		1	2	1	1	-		1					3	1	-	-	2	-	1	1	2	-	1		-	17
Brown, Leigh		2	1	2	1	2	2	2	-	5	4	2	5	2	4	3	2	1	1	2	1		-	-	3	47
Brown, Nathan	1	3	3	1	3	2	2	1	1	1	-		-	1		1										20
Bryan, Chris	3																									3
Clarke, Martin	4	1	2	2	4	3	4	3	1	1	1	-														26
Cloke, Travis	4	3	1	-	3	4	2				5	3	1	2	1	4	3	1	2	-	4	1	2	5	3	54
Cook, Ryan								1	6																	7
Corrie, Anthony						2	3	1																		6
Cox, Shannon	2	6	2	3	1			1	3	3	-	4	2													27
Davis, Leon	4	2	1	1	4	-		2	2	4	6	1		3	2	-	2	3	2	6	-	3	3	2	2	55
Dawes, Chris													1				2		1	2						6
Dick, Brad		1	2						2	4	1	2	3	5	1	1			2	-	-	1		-	-	25
Didak, Alan	5	2	2	3						2	-	2	1	2	2	3	3	1	2	2	1	5	4	1	4	47
Fraser, Josh	2	5	-	3	2	3	3		2	4	2	1	2	2	2						2	1	2			38
Goldsack, Tyson	2			1	1				2				3	-	5			-	-			-		2	2	18
Johnson, Ben	2	1	1												-	1	3	2	2	2	3	2	2	-	2	23
Lockyer, Tarkyn	1	3	3	4	2	2	-	2	3	1	4	1	2	1	1	1	1	4	4	3	2	2	3	2	2	54
Lumumba, Heritier	3	-	2	1	1	1	-	-	2	1	1	3	-	3	4	1	3	1	1	4	1	2	1	-	2	38
Macaffer, Brent					-	-	-																	3	1	4
Maxwell, Nick	2	-	1			-	4	2	1	1	3	2	-	1	1	-	-	-	3	2	-	2	-	4	2	31
McCarthy, John																						3	1			4
Medhurst, Paul	3	2	2	2	1	1							4	5	4	1	3	3	2	2	2	2	1	-		40
OBree, Shane	3	1	1	7	1	3	7	4	1	1	3	-	3	3	2	2	5	1	4	1	2	3	8	4	1	71
Pendlebury, Scott	-	3	2	3	1	4	-	1	6	3	6	-		1	3	4	-	-	2	3	2		1			45
Prestigiacomo, Simon	-	2	-	-	1	3	2	-	1	-	1	1	1	-	2	1	-	-	1	1	-	1	3	1	1	23
Reid, Ben	1							1																		2
Rocca, Anthony				2	2		2																1			7
Shaw, Heath		1	5				3	6	1	3	5	3	1	-	3	4	1	3	1	1	3	6	4	2	1	57
Sidebottom, Steele							1	-	2	-	3	1					-	-					-	4	1	12
Stanley, Danny							6																			6
Swan, Dane	5	3	2	1	3	3	3	4	4	3	5	4	2	5	2	2	1	-	1	2	2	-	5	5	2	69
Thomas, Dale	5		4	3	3	2	1			4	1	-	1	2	1	3	1	1	1	-	2	2	2	-	3	42
Toovey, Alan	5	-		1	2	1	2	1	-	4	-	2	1	2	1	2	3	-	1	-	2	2	1	1	-	34
Wellingham, Sharrod						3	2	4	3	-	1	1	1	5	5	4				1	-	-		4	3	37
Wood, Cameron								2	2	-		1				3	2	-	1	1	1	-		1	-	14
Totals	59	44	39	52	44	44	50	40	46	47	54	37	39	47	48	41	43	30	38	37	34	41	47	41	38	1080
Opponent	AD	ME	GE	BL	ES	NM	SK	CA	WC	PA	ME	SY	FR	ES	WB	HW	CA	BL	AD	RI	SY	WB	SK	AD	GE	
