Player	R1	R2	R3	R4	R6	R7	R8	R9	R10	R11	R12	R13	R14	R16	R17	R18	R19	R20	R21	R22	EF	SF	Tot
Ball, Jason			-																				
Banfield, Drew														-	-	1	-	1	-	2			4
Brennan, Michael	1			1	-	2	1	1	2	2	2	-	1	1	2	3	-	2	-	3	2	2	28
Clape, Matt			4	-	4	-	-	-	-		1			1	-	-	-	-		1			11
Connell, Matthew	1	-							1														2
Evans, Tony	-			-	1	1	-	1	1	1		1	3	2	-	1	4	-	-	2	-	-	18
Godden, Tony																		2	1	1	1	-	5
Hall, Derek																-	-						
Hampson, Damian										2	-	-	-										2
Harding, Paul	2	1	4	3	1	1	2	2		3	5	3	2	1	2	1	1	2	2	1	-	3	42
Hart, David															1	1	2	1	3	-	3	2	13
Heady, Brett	2	3	2	1	4	1	1	2	1	3	1		3	-			-	2	3	2	-	2	33
Hynes, David		-	2	-	-	-	-	-	1	2	1	-	1	1	1	1	-	-	-	-	1	-	11
Irving, Dean									-														
Jakovich, Glen	1	2	-	3	2	1	-	-	1	-	2	-	-	-	2	-	3	1	2	1	1	2	24
Kemp, Dean	1	2	1	1	2	-	1	2				2			2	2	2	2	2	2	3	2	29
Krummel, Brendan	1	-		2			-	1	1	1													6
Lamb, Dwayne	-	-	1	1	1	-	3	-	2	-	-	3	3	-					-				14
Langdon, Karl											-												
Lewis, Chris	1	2	-		-	-	-	2	2	3	1	1	2				1				1	-	16
Mainwaring, Chris											3	6	3	1	3	1	3	3	2	3	1	2	31
Matera, Peter	2	5	1	1	2	1			3	2	2	-	1	2	3	2	1	1	1	2	4	1	37
McIntosh, Ashley	2	2	1	3	-	1	1		-	1	2			-	-	-	1	1	-	1	1	1	18
McKenna, Guy	2	3	3	2	-	1	1	-	1	2	2	-	2	2	1	1	3	2	-		1	-	29
Metropolis, Daniel		2	1																				3
Pyke, Don	1	1	1	-	2	-	2	1	1	-	2	2	-	-	2	1	-	2	1	1	-	1	21
Retzlaff, Brendon												3	-			-							3
Schofield, Jarrad										1													1
Sumich, Peter	1	3	1	2	1	3		1	1	-	2	1	2	-	2	1	2	1	1	-	1	-	26
Turley, Craig	-	1																					1
Ugle, Troy							1	3				-	1										5
Waterman, Chris			1	-	1	1	-	-	-	2	1	1	1	1	3	2	2	3	1	2	2	1	25
West, Robert	1	1	2	1	-	2	1	-						-	-								8
White, Mitchell	1	1	1	1	2	1	2	1	-	4	-	2	-	-	1			-	-	2	-	-	19
Wilson, Peter	2	1	1	2	1	1	1	1	-	1	-	1	-	1	1	1	1	1	2	-	1	2	22
Worsfold, John	1	1	-	2	1	-	1	2	1	2	3	2	1	2	3	-				-	-	-	22
Totals	23	31	27	26	25	17	18	20	19	32	30	28	26	15	29	19	26	27	21	26	23	21	529
Opponent	ES	AD	RI	BB	FO	GE	FI	ME	SK	SY	NM	CW	CA	ES	AD	RI	BB	HW	FO	GE	NM	ES	
