Player	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	R11	R12	R13	R14	R15	R16	R17	R18	R19	R20	R21	R22	QF	PF	GF	Tot
Allison, Brett	2	2	2	4	3													2	1	1	3	1	1	3	-	25
Anderson, Stuart		4	6	2	1	-	5	-	1	1	3	2	3	2	1	1	2	2		3	2	2	1		1	45
Archer, Glenn	3	3	2	6	4	2	5	3	3	3	5	5	1	4	6	7	4	5	1	-		6	3	9	8	98
Armstrong, Matt	3	1	2	1	-	-	6	-	1				2	-	6	2	3	5	-		-			-		32
Bell, Peter	1	1	2	3	2	2	1	4	2	-	-			1	-	1	2	2	1	1	2	4	2	-	2	36
Blakey, John	5	1	2	2	3		4	4	3	3	1	2	4	11	1	6	1	4	2	1	3	3	2	3	3	74
Capuano, Matthew	2			3	1	-	2	2	2	1			-				5	7	2	2	2	2	-	7	1	41
Carey, Wayne	8	8	10	6	6	11	10	4	12	5	3	7	1	9	6	8	15	6	7	5	7	13	10	14	9	200
Crocker, Darren		5	1					5	3	3	2	3	-			4	3	1				4	1	4	3	42
Daniltchenko, Jason			2	-				4	4	4	4	2	1	-	2				-	1	1					25
Dwyer, Anthony												1	1	-												2
Fairley, Ian	1	8	4	4	-	4	3	3	2	3	3	1	-	4	4	1	3	3	3		1	-	3	7	3	68
Freeborn, Glenn		2	-	1	-	3	3	1	4	2	2	1	1	3	1	1			-				2	7	1	35
Gorman, Glenn																	2			1						3
Harvey, Brent																						-				
King, David	4	7	4	2	1	1	4	1	2	3	3	4	-	3	5	3	4	7	3	1	3	3	3	4	4	79
Laidley, Dean	8	1		1	4	5	1	-	4	1	1	1	4	2	4	2	2	2	5	-	2	4	-	5	5	64
Lissenden, Eric														2	-											2
Martyn, Mick	2	4	1	1	1	4	3	3	4	4	1	3	1	-	6	1	3	2	5	1	-	6	2	3	6	67
McFarlane, Sam						-	1																			1
McKernan, Corey	10	8	4	5	10	4		10	8	8	2	3	2	10	5	8	11	7	5	1	7	9	11	1	5	154
Nichols, Trent						-	1																			1
Plain, Bradley					4																					4
Reynolds, Keenan					2	2	1																			5
Roberts, Mark	2	4	8	4		5	2	3	5	9	3	2	2	3	4	-			2	1	1	3	4	1	4	72
Rock, Anthony	2	3	2	4	2	1	3	1	9	6	7	1	4	7	6	3	3	4	2	3	4	7	1	5	5	95
Schwass, Wayne	-									2	2	1	1	5	1	4	7	3	1	3	2	4	2	3	5	46
Scott, Robert	-	2	2	2	-		2	2	4	1	1	3	1	4	2	5	4	1	-	1	2	2	2	-	4	47
Sholl, Craig	5	3	5	2	2	3	1	4	2	2	4	3			3	8	7	2	5	1	3	2	4	4	9	84
Simpson, Adam	4	6	3	3	3	2	-	1	2	2	-	1	-	3	1	-	3	3	2	-	3	-	-	4	-	46
Smith, Ross	1					-									-											1
Stevens, Anthony	1	1	5	6	2	4	6	2	6	5	3	5	5	-		7	8	2	2	2	6	2	2	-	4	86
Stevens, Danny																					1					1
Stevens, Mark	3	5	1								1					2	4	-		1						17
Welsh, Scott												-														
Totals	67	79	68	62	51	53	64	57	83	68	51	51	34	73	64	74	96	70	49	30	55	77	56	84	82	1598
Opponent	SK	FO	HW	BB	AD	GE	WC	RI	FI	FO	SY	ES	FR	CA	CW	SK	ME	HW	BB	AD	GE	RI	GE	BB	SY	
